,W eco,W soc,K,Recovery rate,Delay for societal,Divorce
263,0.0,0.0,-1.6000000000000005,1.0,10.5,122.64296478310652
264,0.0,0.0,-0.8000000000000007,0.0,0.5,0.47490100793904844
265,0.0,0.0,-0.8000000000000007,0.0,1.5,0.5018858749551657
266,0.0,0.0,-0.8000000000000007,0.0,2.5,0.5299058006977565
267,0.0,0.0,-0.8000000000000007,0.0,3.5,0.5590026100825599
268,0.0,0.0,-0.8000000000000007,0.0,4.5,0.5891444402391236
269,0.0,0.0,-0.8000000000000007,0.0,5.5,0.6202120592983357
270,0.0,0.0,-0.8000000000000007,0.0,6.5,0.6519766720214886
271,0.0,0.0,-0.8000000000000007,0.0,7.5,0.6840900625961975
272,0.0,0.0,-0.8000000000000007,0.0,8.5,0.7161121788741925
273,0.0,0.0,-0.8000000000000007,0.0,9.5,0.7475710945550058
274,0.0,0.0,-0.8000000000000007,0.0,10.5,0.7780258120478053
275,0.0,0.0,-0.8000000000000007,0.2,0.5,84.5053492188527
276,0.0,0.0,-0.8000000000000007,0.2,1.5,84.52467055681139
277,0.0,0.0,-0.8000000000000007,0.2,2.5,84.54028298352259
278,0.0,0.0,-0.8000000000000007,0.2,3.5,84.55030259595378
279,0.0,0.0,-0.8000000000000007,0.2,4.5,84.55479718904587
280,0.0,0.0,-0.8000000000000007,0.2,5.5,84.55164492893661
281,0.0,0.0,-0.8000000000000007,0.2,6.5,84.53775171443692
